label,id,byte0,byte1,byte2,byte3,byte4,byte5,byte6,byte7,time_interval,same_id_time_interval
BENIGN,2021,2,1,246,85,85,85,85,85,0.002051000000000025,0.002051000000000025
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.0019649999999999945,0.0019649999999999945
BENIGN,2019,2,1,13,85,85,85,85,85,0.019035999999999997,0.019035999999999997
BENIGN,2017,2,1,73,85,85,85,85,85,0.0018479999999999608,0.0018479999999999608
BENIGN,2018,0,65,13,189,-1,-1,-1,-1,0.00016800000000000148,0.00016800000000000148
BENIGN,2016,0,65,73,188,0,-1,-1,-1,0.0018180000000000418,0.0018180000000000418
BENIGN,2021,2,1,246,85,85,85,85,85,0.002031000000000005,0.002031000000000005
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.0019409999999999705,0.0019409999999999705
BENIGN,2025,2,1,244,85,85,85,85,85,0.017203999999999997,0.017203999999999997
BENIGN,2024,0,65,244,0,0,-1,-1,-1,0.0019680000000000253,0.0019680000000000253
BENIGN,2017,2,1,73,85,85,85,85,85,0.0010539999999999994,0.0010539999999999994
BENIGN,2016,0,65,73,187,0,-1,-1,-1,0.0009059999999999624,0.0009059999999999624
BENIGN,2021,2,1,246,85,85,85,85,85,0.002950000000000008,0.002950000000000008
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.0018960000000000088,0.0018960000000000088
BENIGN,2023,2,1,245,85,85,85,85,85,0.016062999999999994,0.016062999999999994
BENIGN,2022,0,65,245,0,-1,-1,-1,-1,0.0010439999999999894,0.0010439999999999894
BENIGN,2017,2,1,73,85,85,85,85,85,0.0029750000000000054,0.0029750000000000054
BENIGN,2016,0,65,73,185,0,-1,-1,-1,0.0019460000000000033,0.0019460000000000033
BENIGN,2021,2,1,246,85,85,85,85,85,0.0020479999999999943,0.0020479999999999943
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.0019689999999999985,0.0019689999999999985
BENIGN,2019,2,1,17,85,85,85,85,85,0.015058000000000016,0.015058000000000016
BENIGN,2018,0,65,17,184,-1,-1,-1,-1,0.0010169999999999901,0.0010169999999999901
BENIGN,2017,2,1,73,85,85,85,85,85,0.0038850000000000273,0.0038850000000000273
BENIGN,2016,0,65,73,184,0,-1,-1,-1,0.0010040000000000049,0.0010040000000000049
BENIGN,2021,2,1,246,85,85,85,85,85,0.003012999999999988,0.003012999999999988
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.0019879999999999898,0.0019879999999999898
BENIGN,2019,2,1,13,85,85,85,85,85,0.015041000000000027,0.015041000000000027
BENIGN,2018,0,65,13,184,-1,-1,-1,-1,0.0009019999999999584,0.0009019999999999584
BENIGN,2017,2,1,73,85,85,85,85,85,0.004016999999999993,0.004016999999999993
BENIGN,2016,0,65,73,183,0,-1,-1,-1,0.0020020000000000038,0.0020020000000000038
BENIGN,2021,2,1,246,85,85,85,85,85,0.0020110000000000405,0.0020110000000000405
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.0029249999999999554,0.0029249999999999554
BENIGN,2025,2,1,244,85,85,85,85,85,0.013097000000000025,0.013097000000000025
BENIGN,2024,0,65,244,0,0,-1,-1,-1,0.002958000000000016,0.002958000000000016
BENIGN,2017,2,1,73,85,85,85,85,85,0.003027000000000002,0.003027000000000002
BENIGN,2016,0,65,73,181,0,-1,-1,-1,0.0009549999999999836,0.0009549999999999836
BENIGN,2021,2,1,246,85,85,85,85,85,0.003037000000000012,0.003037000000000012
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.0019369999999999665,0.0019369999999999665
BENIGN,2023,2,1,245,85,85,85,85,85,0.013159000000000032,0.013159000000000032
BENIGN,2022,0,65,245,0,-1,-1,-1,-1,0.0019520000000000093,0.0019520000000000093
BENIGN,2017,2,1,73,85,85,85,85,85,0.005044999999999966,0.005044999999999966
BENIGN,2016,0,65,73,180,0,-1,-1,-1,0.0020040000000000058,0.0020040000000000058
BENIGN,2021,2,1,246,85,85,85,85,85,0.0019799999999999818,0.0019799999999999818
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.001957000000000042,0.001957000000000042
BENIGN,2019,2,1,17,85,85,85,85,85,0.011946999999999985,0.011946999999999985
BENIGN,2018,0,65,17,179,-1,-1,-1,-1,0.0019520000000000093,0.0019520000000000093
BENIGN,2017,2,1,73,85,85,85,85,85,0.006150999999999962,0.006150999999999962
BENIGN,2016,0,65,73,179,0,-1,-1,-1,0.0010060000000000069,0.0010060000000000069
BENIGN,2021,2,1,246,85,85,85,85,85,0.0028830000000000244,0.0028830000000000244
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.0019299999999999873,0.0019299999999999873
BENIGN,2019,2,1,13,85,85,85,85,85,0.012164999999999981,0.012164999999999981
BENIGN,2018,0,65,13,178,-1,-1,-1,-1,0.0019689999999999985,0.0019689999999999985
BENIGN,2017,2,1,73,85,85,85,85,85,0.006022000000000027,0.006022000000000027
BENIGN,2016,0,65,73,177,0,-1,-1,-1,0.0019930000000000225,0.0019930000000000225
BENIGN,2021,2,1,246,85,85,85,85,85,0.002014999999999989,0.002014999999999989
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.0019329999999999625,0.0019329999999999625
BENIGN,2025,2,1,244,85,85,85,85,85,0.011053000000000035,0.011053000000000035
BENIGN,2024,0,65,244,0,0,-1,-1,-1,0.0019439999999999458,0.0019439999999999458
BENIGN,2017,2,1,73,85,85,85,85,85,0.007030000000000092,0.007030000000000092
BENIGN,2016,0,65,73,176,0,-1,-1,-1,0.0010379999999999834,0.0010379999999999834
BENIGN,2021,2,1,246,85,85,85,85,85,0.0029359999999999387,0.0029359999999999387
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.001956000000000069,0.001956000000000069
BENIGN,2023,2,1,245,85,85,85,85,85,0.009997999999999951,0.009997999999999951
BENIGN,2022,0,65,245,0,-1,-1,-1,-1,0.0009390000000000231,0.0009390000000000231
BENIGN,2017,2,1,73,85,85,85,85,85,0.009158,0.009158
BENIGN,2016,0,65,73,175,0,-1,-1,-1,0.0019679999999999698,0.0019679999999999698
BENIGN,2021,2,1,246,85,85,85,85,85,0.0020290000000000585,0.0020290000000000585
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.001838999999999924,0.001838999999999924
BENIGN,2019,2,1,17,85,85,85,85,85,0.009066000000000018,0.009066000000000018
BENIGN,2018,0,65,17,174,-1,-1,-1,-1,0.0009550000000000392,0.0009550000000000392
BENIGN,2017,2,1,73,85,85,85,85,85,0.010140999999999956,0.010140999999999956
BENIGN,2016,0,65,73,173,0,-1,-1,-1,0.0009910000000000752,0.0009910000000000752
BENIGN,2021,2,1,246,85,85,85,85,85,0.0030079999999998996,0.0030079999999998996
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.0019180000000000863,0.0019180000000000863
BENIGN,2019,2,1,13,85,85,85,85,85,0.010066999999999937,0.010066999999999937
BENIGN,2018,0,65,13,173,-1,-1,-1,-1,0.0010069999999999801,0.0010069999999999801
BENIGN,2017,2,1,73,85,85,85,85,85,0.008879999999999999,0.008879999999999999
BENIGN,2016,0,65,73,172,0,-1,-1,-1,0.001915,0.001915
BENIGN,2021,2,1,246,85,85,85,85,85,0.0020370000000000665,0.0020370000000000665
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.0019569999999999865,0.0019569999999999865
BENIGN,2025,2,1,244,85,85,85,85,85,0.010074000000000027,0.010074000000000027
BENIGN,2024,0,65,244,0,0,-1,-1,-1,0.002950999999999926,0.002950999999999926
BENIGN,2017,2,1,73,85,85,85,85,85,0.00715700000000008,0.00715700000000008
BENIGN,2016,0,65,73,171,0,-1,-1,-1,0.0009749999999999481,0.0009749999999999481
BENIGN,2021,2,1,246,85,85,85,85,85,0.002866000000000035,0.002866000000000035
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.0019620000000000193,0.0019620000000000193
BENIGN,2023,2,1,245,85,85,85,85,85,0.008184999999999998,0.008184999999999998
BENIGN,2022,0,65,245,0,-1,-1,-1,-1,0.0019439999999999458,0.0019439999999999458
BENIGN,2017,2,1,73,85,85,85,85,85,0.009944999999999982,0.009944999999999982
BENIGN,2016,0,65,73,169,0,-1,-1,-1,0.0019440000000000568,0.0019440000000000568
BENIGN,2021,2,1,246,85,85,85,85,85,0.0020399999999999308,0.0020399999999999308
BENIGN,2020,0,65,246,0,-1,-1,-1,-1,0.001951000000000036,0.001951000000000036
BENIGN,2019,2,1,17,85,85,85,85,85,0.008156000000000052,0.008156000000000052
BENIGN,2018,0,65,17,169,-1,-1,-1,-1,0.0019399999999999418,0.0019399999999999418
